semester_id,semester_name,academic_year_start,academic_year_end,semester_start_date,semester_end_date,is_current
1,FALL 2019,2019,2020,2019-SEP-01,2019-DEC-15,t
2,SPRING 2020,2020,2020,2020-JAN-15,2020-MAY-31,f
3,FALL 2020,2020,2021,2020-SEP-01,2020-DEC-15,f
4,SPRING 2021,2021,2021,2021-JAN-15,2021-MAY-31,f
5,FALL 2021,2021,2022,2021-SEP-01,2021-DEC-15,f
6,SPRING 2022,2022,2022,2022-JAN-15,2022-MAY-31,f
7,FALL 2022,2022,2023,2022-SEP-01,2022-DEC-15,f
8,SPRING 2023,2023,2023,2023-JAN-15,2023-MAY-31,f
9,FALL 2023,2023,2024,2023-SEP-01,2023-DEC-15,f
10,SPRING 2024,2024,2024,2024-JAN-15,2024-MAY-31,f
